Date,Close,High,Low,Open,Volume
2025-05-19,349.45916748046875,349.84571065450393,345.46472669110995,346.6144952636314,2277700
2025-05-20,346.4063415527344,349.35013761562294,344.4239881164003,347.7444361719224,2266000
2025-05-21,339.4879455566406,345.34580355867297,338.63551785457014,343.5815102199459,2093400
2025-05-22,342.1442565917969,344.30501434305114,337.5848381339224,338.98240078449777,2174100
2025-05-23,340.3601989746094,341.8965108390157,333.27326100777555,334.65101121057097,1936600
2025-05-27,348.4085388183594,350.22237890822026,343.56167013431116,346.86230555372987,2240100
2025-05-28,346.4063415527344,349.6871340700022,345.7818953805591,349.37987170723545,1924400
2025-05-29,348.68603515625,349.9745526759962,345.6629282855989,349.09242120436943,2290300
2025-05-30,344.959228515625,350.123250695381,343.95813036096797,348.7256879071402,4867100
2025-06-02,341.6288757324219,343.41298163687395,336.50447904565084,343.41298163687395,2552700
2025-06-03,346.317138671875,347.74443556340293,341.8766863411774,342.9471438856669,2614300
2025-06-04,346.24774169921875,348.6265899668588,346.24774169921875,347.2091843037015,1616300
2025-06-05,345.8810119628906,348.40853069103514,342.7984669522066,347.90302089574374,1753300
2025-06-06,350.2322692871094,354.28617808589894,349.1518903870387,350.45032935628115,1608000
2025-06-09,354.91064453125,357.2795410904492,350.80715851680884,352.085784916016,2147100
2025-06-10,355.4062194824219,357.180403911293,352.9480904952733,356.2685383302116,1894300
2025-06-11,359.9359130859375,361.0757602150816,354.5934562765161,357.7553122967223,2551700
2025-06-12,357.7751159667969,358.8059481547796,354.71238374079786,356.6749244018651,1571800
2025-06-13,353.8996276855469,357.20026302674046,352.56156334278916,354.0780624797853,1609600
2025-06-16,359.2420654296875,361.39290180906227,357.02183942560754,357.81476864183304,1579800
2025-06-17,354.5240783691406,359.1925424519722,353.87981955731055,357.53726403703365,1560100
2025-06-18,356.6253662109375,361.0163020009737,353.810427999709,353.9789413487463,2000500
2025-06-20,357.3389892578125,361.0360889926194,355.971190911253,359.7475714675361,6268300
2025-06-23,362.9986572265625,363.86097612413784,354.5736551954183,356.7443346091899,2927400
2025-06-24,369.72869873046875,370.809077636422,364.6737220737708,366.6263412611606,3841800
2025-06-25,368.3013916015625,370.8883782839567,366.2496790066474,369.708875697657,1737700
2025-06-26,378.5105285644531,378.9565398898471,369.7485309642132,370.7000520400299,2575100
2025-06-27,381.3155822753906,384.07105230943637,379.3728844002428,379.6404912215964,4455000
2025-06-30,384.7846984863281,385.7164070047957,381.4147037538111,382.90146880477266,2791400
2025-07-01,387.4707946777344,390.4145905788169,380.8596330216859,383.17898278491583,2393600
2025-07-02,394.9145202636719,395.1226891467907,385.9840388798984,389.23509720432907,2713700
2025-07-03,394.3495178222656,398.86931106436657,394.0819110226908,395.40019287406074,1737800
2025-07-07,388.05560302734375,394.5477983720907,384.66576537324244,394.5477983720907,3012900
2025-07-08,390.8110656738281,392.45642260946425,388.06548688287637,388.9674613008143,2003600
2025-07-09,398.63140869140625,400.19748470152905,393.37818466625794,396.19312265787613,3101000
2025-07-10,404.7271728515625,408.36480468801676,399.88033446679094,401.08957126342096,3382800
2025-07-11,402.33843994140625,403.28996105792294,398.15567325949,401.87258570497323,2072600
2025-07-14,402.18975830078125,403.200777892774,398.6810145647838,400.43538643278254,2497500
2025-07-15,401.0697326660156,405.1434541629975,399.46400109047664,402.6754339932438,2167000
2025-07-16,409.2370300292969,409.4253560172349,399.76138344506313,401.4265529979041,3242100
2025-07-17,414.3812255859375,416.1950655298136,409.2370163989913,411.19952678936363,2444700
2025-07-18,410.0596923828125,416.1950784005503,408.5233806409896,415.0056845434875,2526600
2025-07-21,407.9407653808594,415.2625348443219,407.71194870045656,415.05363374602655,1833300
2025-07-22,415.0238037109375,416.3468845203432,408.2491660794264,408.2491660794264,2185000
2025-07-23,425.3697814941406,425.9368291169325,417.27206335114346,417.81919539193774,3254900
2025-07-24,427.2897644042969,427.92645586299744,422.2958410064833,424.82266089963156,2511400
2025-07-25,431.497802734375,432.6119824050139,426.39443481518146,427.45888624874937,2218400
2025-07-28,430.6920166015625,434.13404249154354,428.8814594336476,429.01078928265855,2550300
2025-07-29,427.8169860839844,432.9501968212643,422.5942463079233,432.293620177751,2383700
2025-07-30,431.8658752441406,434.56179536948645,424.2158022865682,427.7672727441442,3172600
2025-07-31,435.7456359863281,438.85938878873475,431.42817442780216,431.87585001401453,4116400
2025-08-01,426.4640808105469,428.6227963436456,419.10251049844425,424.7530104907289,4027300
2025-08-04,431.44805908203125,434.621497687227,427.7573011060086,428.6227788421314,4059500
2025-08-05,431.9753112792969,437.45668046290325,424.3550814872007,425.42946032774245,4329900
2025-08-06,425.4991149902344,432.452810515411,423.330441672216,431.08992893811615,2630800
2025-08-07,414.9541320800781,425.1111089509584,407.8313061784666,424.6236629526536,4261100
2025-08-08,414.35723876953125,419.70930836188785,413.60120565935915,418.3364690557006,2965200
2025-08-11,406.418701171875,416.11807517086015,404.68771532170183,414.81487965716184,3416000
2025-08-12,410.5670471191406,416.01860384279723,407.51301077807017,408.8659345780191,2765100
2025-08-13,411.55194091796875,413.3823833685285,408.40834507055513,413.0242368243318,4403000
2025-08-14,415.3321838378906,417.0631393921411,404.88670376532093,407.1747491613789,3676000
2025-08-15,405.672607421875,414.3970593105621,404.9861877360874,413.56142455375965,3107400
2025-08-18,410.4974365234375,410.9948403402646,403.3546946408695,404.8867068972505,3185200
2025-08-19,413.92950439453125,419.68944909047,411.91004611379554,417.13278618733136,3543600
2025-08-20,418.4061279296875,419.7292390485615,409.91046246241706,412.6461833826129,4060200
2025-08-21,415.72015380859375,418.3961582660236,412.00951060921363,417.74953941142263,2504300
2025-08-22,433.4078369140625,435.5665523873442,417.8689168271768,419.4208142417862,3785100
2025-08-25,430.0553283691406,434.6314495609248,429.92602887828053,432.7413211266782,1857900
2025-08-26,429.020751953125,429.9459157708678,425.02160581597116,429.16000923579173,2792200
2025-08-27,430.4234313964844,432.80100584967545,426.7227457919305,427.4986945303473,1970900
2025-08-28,432.6517639160156,433.7162153021142,430.3836038707582,432.6517639160156,1651700
2025-08-29,416.8641662597656,425.8771202774339,412.2184016208846,423.20108552631933,3673800
2025-09-02,413.8896789550781,415.0436593838339,408.38839428607315,411.76080653378847,2329500
2025-09-03,412.96453857421875,415.95891925591616,409.23400996112184,415.95891925591616,1496700
2025-09-04,418.0380554199219,418.6051030442599,412.13885357413443,413.6509502132502,1634600
2025-09-05,420.8831787109375,422.69373579755484,415.7400405097262,418.65481944071195,1843200
2025-09-08,420.5847473144531,421.70888473692827,414.6159018364908,420.4554174716384,1876700
2025-09-09,415.9190979003906,421.3507387921393,414.27767146355166,420.9627796222877,1710700
