Date,Close,High,Low,Open,Volume
2025-05-19,224.21197509765625,224.7688485964938,222.902854289194,223.8016543177145,2509400
2025-05-20,223.06890869140625,224.59296137903442,222.56088615979624,223.38152762125728,1982900
2025-05-21,218.46743774414062,221.662095960829,218.33066416123177,220.43113371464932,2183600
2025-05-22,217.73472595214844,219.18063519778232,216.81638261990076,218.21344096137625,2848900
2025-05-23,216.9922332763672,217.87148988343841,214.9406146502646,215.04808067176907,3227900
2025-05-27,219.18063354492188,219.77657879387345,217.60772984898105,218.50652983134682,2613300
2025-05-28,217.0606231689453,220.25528150247607,216.84570602268738,219.81565317756153,3073200
2025-05-29,217.3830108642578,218.43812773796915,214.70615435627383,217.31463152717035,2980600
2025-05-30,217.86463928222656,218.75906144371484,216.5279252269046,217.1373045029634,4179600
2025-06-02,215.14205932617188,216.23305397110875,213.66774304909612,215.0339421992855,4587000
2025-06-03,217.9825897216797,218.5624838977442,213.83484511089114,214.11004963504112,6229300
2025-06-04,217.08816528320312,218.36590913074988,215.60402554343085,218.0513961053276,3976800
2025-06-05,216.87191772460938,217.9629123663557,215.64332083063917,217.16678397866636,3084600
2025-06-06,219.6043243408203,220.32183575231014,218.34624227351048,219.152209065314,2953400
2025-06-09,220.3021697998047,221.40298783832293,219.42740939472768,220.1350824187811,3128500
2025-06-10,222.72006225585938,225.27553492666607,219.53553354575345,220.6560133700927,3122200
2025-06-11,221.85511779785156,223.13286158938777,220.78378488701438,223.13286158938777,2655100
2025-06-12,221.62905883789062,221.62905883789062,219.68295053730836,220.72481331326088,1939200
2025-06-13,219.54534912109375,221.60939793351767,218.95563160148757,219.85003875585176,1670100
2025-06-16,220.80343627929688,222.3170761095072,219.93851423098363,220.20388037207456,2659500
2025-06-17,216.8129425048828,220.17438173005306,215.8890352621859,219.93850073022938,2767900
2025-06-18,218.20864868164062,218.33642756773781,216.47878951977322,217.19628596223524,2414500
2025-06-20,218.7000732421875,219.94833190140275,217.42234445447014,218.79836699394463,4274300
2025-06-23,222.0123748779297,222.10083025367567,218.02189462072573,218.62143549912884,2665300
2025-06-24,224.00762939453125,224.12556990310122,221.97306563657082,223.65379287129994,2777100
2025-06-25,222.92645263671875,223.11320176908038,221.60940033140764,223.02474638981047,2005400
2025-06-26,225.4622802734375,226.29773218875593,222.98542465165974,223.52601030289395,2960200
2025-06-27,227.4477081298828,227.71307428263384,225.1477781542424,225.1477781542424,7430700
2025-06-30,226.14047241210938,228.02759554102215,225.87509126971682,226.98574771961918,3579000
2025-07-01,231.53646850585938,233.05009331338073,225.50158603324968,225.68833516481527,2687500
2025-07-02,233.09925842285156,233.34497782623268,230.4946237484986,232.2146595721663,1752100
2025-07-03,232.23431396484375,235.0944913289735,232.23431396484375,233.62017495540417,1327600
2025-07-07,231.32025146484375,233.44325570388946,229.8262732986454,231.69373475825174,2580900
2025-07-08,232.48985290527344,234.770136057621,230.29804013199836,231.02537493007918,2574300
2025-07-09,232.4407196044922,234.3966363508234,232.15567671342995,233.26633315563262,2432800
2025-07-10,232.9419708251953,236.6179381267763,231.55610993100754,233.10905820287797,2630100
2025-07-11,231.07452392578125,232.2441356423372,230.06216122313901,231.58560946666364,3211700
2025-07-14,229.31515502929688,230.8386182063108,227.4378553401863,230.07197492968822,1973400
2025-07-15,227.18231201171875,230.00316572767753,227.08401825956872,229.04977332240182,2419300
2025-07-16,227.22161865234375,228.95149269187667,225.76696411707172,228.02758542031174,2356500
2025-07-17,223.59481811523438,226.39601012002277,222.86748333281352,223.60464149157696,5211300
2025-07-18,221.01966857910156,224.50888686073765,218.53298959191912,224.50888686073765,5794500
2025-07-21,221.98289489746094,223.42772605821335,221.06881100100577,222.10083540118902,2814100
2025-07-22,225.31484985351562,226.58275526536454,222.1303212645971,222.8969645364166,3806300
2025-07-23,227.0447235107422,227.20198752470031,223.41790280051256,225.51143686845495,3740100
2025-07-24,216.74417114257812,226.7105493419008,215.45660389455017,222.1303361562646,9784100
2025-07-25,220.89190673828125,222.40553157152607,217.38302667402274,219.26032640032037,8254700
2025-07-28,225.31484985351562,227.01522377716446,220.97053298069815,221.36367799277758,6858400
2025-07-29,219.93850708007812,226.43532809398397,215.37795598240206,222.51364138596878,19091000
2025-07-30,221.4226531982422,222.6905736359764,218.70007818624725,221.98290060038548,8361200
2025-07-31,218.16932678222656,219.94833271394813,217.01936187052016,218.67058892398958,5546800
2025-08-01,215.64332580566406,217.04884848350298,214.88652089973337,216.77364397270617,4637300
2025-08-04,218.25778198242188,219.57483427364062,215.86939678256343,216.10527779142595,4181100
2025-08-05,219.15220642089844,219.57483656453383,217.79583061570384,218.91631041205383,2430000
2025-08-06,221.59957885742188,222.4153540254977,218.6116227090279,220.03679215596577,3135700
2025-08-07,218.84751892089844,224.4990648343925,218.29710989240502,223.28029127307047,3113700
2025-08-08,218.43472290039062,220.6167123689687,218.3069440133724,219.0637639635604,2345500
2025-08-11,215.88906860351562,219.9385346969478,214.9455144634603,218.88684841857992,4419600
2025-08-12,215.05361938476562,217.42235797269225,214.44422508152,216.5377591444409,3224200
2025-08-13,219.35861206054688,219.67314008632655,214.77841391592386,215.68265949375782,3096800
2025-08-14,217.72703552246094,218.58213417780075,215.5450461972647,218.36589992052754,6245600
2025-08-15,216.9997100830078,219.83040230179301,216.63605017900503,219.4470806469593,3739200
2025-08-18,216.31170654296875,217.59927381445607,215.16174153719328,216.9210858629039,3188400
2025-08-19,219.93850708007812,221.167103981365,216.29202487814953,217.13730014613571,4899200
2025-08-20,221.8157958984375,222.99526094376336,220.597037347965,221.14744637043918,4521500
2025-08-21,221.44232177734375,222.30724384944403,219.70262426140752,221.61923254293643,3435500
2025-08-22,223.9486541748047,227.35924044886582,218.37572530809535,222.8085126255031,5317300
2025-08-25,219.4962158203125,225.02980608115587,217.34371164352356,224.3221330641973,5993000
2025-08-26,218.92616271972656,219.17188212050846,216.58690922507608,218.74923695245218,3758000
2025-08-27,217.16680908203125,219.1817112205588,216.6360617613936,218.69027240616293,3464900
2025-08-28,218.54283142089844,221.00984869689282,217.05867670718433,220.42995453601498,6299300
2025-08-29,221.11427307128906,221.25273468178426,218.7702953270136,218.96809547183767,5012800
2025-09-02,219.55162048339844,220.32305159170107,216.93071958723607,219.76920516432313,3955400
2025-09-03,219.32415771484375,220.0560349042056,216.34722532716845,218.98789593507672,5881000
2025-09-04,220.60987854003906,221.02526339636555,218.0878850419568,220.21427822673326,3601000
2025-09-05,217.89007568359375,220.71866156871178,216.46589046994217,219.72964573602974,4001800
2025-09-08,214.8735809326172,217.68239745244603,213.89446488674162,216.91096628670826,4131200
2025-09-09,213.67686462402344,216.22852717527059,213.28124925298707,215.09114996112226,3111200
2025-09-10,212.82632446289062,213.69666324533185,208.52409945290458,212.63840903566495,5004700
2025-09-11,213.66696166992188,214.3988387772036,211.80762227249812,212.41092249968335,4126700
2025-09-12,212.5493927001953,213.90433953933018,211.5405923420508,212.81641610494063,6207200
2025-09-15,213.8746795654297,214.6757799968425,211.96588620082233,213.6373103263804,4484400
2025-09-16,213.62741088867188,216.61424280348,213.07356446021652,216.04061183367028,4425900
2025-09-17,214.78457641601562,217.25711611103517,213.75600654300874,213.9340221572815,4797500
2025-09-18,217.9395294189453,218.1274448416801,214.39885092821214,215.09115899261607,4349300
2025-09-19,218.18678283691406,219.22525247654121,216.81205143700655,219.22525247654121,8632100
2025-09-22,223.36923217773438,226.48462601881212,216.84172163591512,218.22633776724211,8136000
2025-09-23,225.475830078125,226.48463047432827,222.97362117581253,223.36923657196297,5183000
2025-09-24,227.82969665527344,229.51102061779605,225.8813341820397,226.81101151540213,5925900
