Date,Close,High,Low,Open,Volume
2025-05-19,126.7142105102539,127.16611002200932,126.06040719092827,127.04112684102613,9406200
2025-05-20,126.72384643554688,127.07959152907286,126.29118070834569,126.67576920561102,7624200
2025-05-21,125.13737487792969,126.81997508005149,125.0508446743154,126.72383529973878,9243700
2025-05-22,125.10852813720703,125.66619166412913,123.85860832873962,125.01238835946057,7140200
2025-05-23,124.35857391357422,124.7623962022335,122.82981496269772,124.5701019701733,8122500
2025-05-27,126.3104019165039,126.39694680023948,124.15668282303389,125.07009152221883,13974800
2025-05-28,125.63734436035156,127.09880684511775,125.44505013972383,126.23346084563008,9431500
2025-05-29,126.8392105102539,126.98344218921304,125.23353091472116,125.82003786515848,6656900
2025-05-30,126.3873062133789,127.60839729441575,126.23346496341492,127.06034334308497,12992100
2025-06-02,125.86812591552734,125.98349953172851,124.09899533525864,125.85850166676998,6723700
2025-06-03,126.77191162109375,127.11804710419109,124.81047232650567,125.5988977434366,7339500
2025-06-04,126.66615295410156,127.62763881771552,126.05080258823304,127.14689588590853,6519700
2025-06-05,126.06041717529297,126.34886588006299,125.19508573209352,126.1469473853908,9560800
2025-06-06,126.39381408691406,127.01591640661232,125.72310701072124,126.6076631498187,7628200
2025-06-09,126.3257827758789,126.99647503847125,125.56758118425907,126.19941337192732,8453100
2025-06-10,128.1434783935547,128.4253622430555,125.83975834596379,126.55905532914669,11852900
2025-06-11,126.26744842529297,128.27956971345142,126.16052389067455,128.2504098251091,9168400
2025-06-12,128.600341796875,128.62950168487257,126.0827725858215,126.25773191380691,11444900
2025-06-13,127.19088745117188,129.33907821402536,126.93814865642048,128.07542873653506,9581000
2025-06-16,127.73522186279297,128.39619905543753,126.5882119615547,127.63801235465652,11183700
2025-06-17,125.67449951171875,128.00739428374504,125.51898505925482,127.49221650674146,10235200
2025-06-18,125.4606704711914,126.05359808288975,124.99408259824749,126.00500815753645,8785800
2025-06-20,125.4606704711914,126.77290992961115,125.2954113294678,125.90779864265075,23001000
2025-06-23,125.4801025390625,125.87864079161783,124.24562029011179,125.67450673989029,12840400
2025-06-24,127.38530731201172,127.5408366152869,125.44123551734414,125.5287151884024,9226800
2025-06-25,124.44002532958984,126.93814958397022,124.06092455073707,126.61737599511876,10922600
2025-06-26,124.63443756103516,125.54815363087833,124.03177266577019,124.13869720228567,11538100
2025-06-27,127.37556457519531,127.66717828131397,124.5275068035202,124.70246612793787,26536500
2025-06-30,128.34759521484375,128.6586537774234,126.93814632936511,127.53108873620506,11402400
2025-07-01,131.47755432128906,132.57595949944243,128.76558102001098,128.88222056739403,12846700
2025-07-02,132.66343688964844,133.16889963980626,131.1081885668309,131.4678370531664,9388700
2025-07-03,131.59420776367188,133.00365666883954,131.45812334866443,132.87728727201517,4941400
2025-07-07,130.69021606445312,131.924705737477,129.94174431270432,131.7400165542581,7773700
2025-07-08,131.26370239257812,131.87608966712534,129.55292479598586,129.67929419094668,7718300
2025-07-09,130.71937561035156,131.59421676560638,129.2418918126547,131.1276288833012,7762600
2025-07-10,132.27464294433594,132.857855566971,129.89315802970617,130.67077485988628,8869700
2025-07-11,131.47755432128906,131.60392371901332,130.06810540608464,131.06930107335953,7963600
2025-07-14,131.77891540527344,132.08024416416382,130.11672747346753,130.98183883986837,8480300
2025-07-15,130.06809997558594,131.72055776690553,130.00978020432933,131.64279312786732,8933500
2025-07-16,131.56504821777344,131.72056266954985,130.00978504329842,130.20418923208558,10941600
2025-07-17,141.3728790283203,141.8783417612053,137.6791402857083,137.73746005640888,26161000
2025-07-18,139.2344207763672,142.2574528692912,138.94280705435685,142.1699583702251,13752800
2025-07-21,137.7374725341797,139.5746196381165,136.53215761160942,139.09833157952258,9025600
2025-07-22,141.9561004638672,142.3060339420891,137.28061067990865,137.28061067990865,8281500
2025-07-23,141.58673095703125,142.91841518875512,141.032663459924,141.7811351406854,6166000
2025-07-24,140.46890258789062,142.3740994782607,139.95372474739023,141.74228207601405,9749400
2025-07-25,139.4385223388672,140.77022137322837,138.70949554222054,140.76049152340335,7021600
2025-07-28,137.61111450195312,139.09832808048668,137.5041899713094,138.7095048635598,10639100
2025-07-29,139.86624145507812,139.96345097541052,137.18342777973402,137.611125937852,6282900
2025-07-30,138.8650360107422,140.36196462772023,138.31096848123184,139.74959215500115,9738400
2025-07-31,134.06317138671875,137.6111108403367,133.7910025581565,137.03759846464098,11689700
2025-08-01,135.3851318359375,135.90030957313505,134.4228111482219,135.21017252840073,7630500
2025-08-04,135.65731811523438,136.3960748388635,134.86997146575783,135.39486428804562,8384700
2025-08-05,135.55039978027344,136.4252409668853,135.36571059091904,135.69621406075393,5535100
2025-08-06,136.86264038085938,137.62082710042338,135.4629064887138,135.98779928222396,6747400
2025-08-07,139.89540100097656,140.27449439799673,136.55159522618808,137.29035198188203,7674600
2025-08-08,141.14932250976562,141.3048369625855,139.77874849667305,139.8953880443102,5315100
2025-08-11,140.81881713867188,141.5284139292965,139.73014182342902,141.25624510048578,5773400
2025-08-12,142.7628936767578,142.89897809592895,140.67302263261044,141.47981412915695,7668700
2025-08-13,145.17355346679688,145.35822781086463,142.74346395333922,142.78233885943524,6147000
2025-08-14,144.46395874023438,145.3193550076181,143.909906035835,144.87221200455218,6892500
2025-08-15,146.19419860839844,146.87463562818627,144.33762124598888,145.2124476541571,9162200
2025-08-18,145.36795043945312,146.33998619654463,144.75556316621712,146.33998619654463,9901000
2025-08-19,147.90496826171875,148.0604975466588,145.66928299499443,145.80536741129475,8596900
2025-08-20,146.51495361328125,150.28645730556667,144.5320070853093,148.92561310324172,10023500
2025-08-21,144.8138885498047,146.11642778716586,144.44452503361794,146.11642778716586,8153600
2025-08-22,145.45542907714844,146.95235760644562,144.92080644808212,145.46514409509928,5218000
2025-08-25,144.0557098388672,144.65838215099927,143.45305235882506,144.27927393112637,6624300
2025-08-26,142.88926696777344,144.10431175491436,141.73254195728092,143.3752848826298,11208100
2025-08-27,143.51136779785156,143.6571672379409,142.21855837806442,142.88926546665448,8092900
2025-08-28,142.8698272705078,143.90018291417093,142.14080037183032,143.82243309721807,9265100
2025-08-29,144.4931182861328,145.04718582130982,142.7628957181775,142.98647463522585,7760700
2025-09-02,146.07754516601562,153.38725885168262,146.00951036975454,153.03732535523872,17348600
2025-09-03,144.4833984375,146.2525106849707,142.99618487354843,145.75676294226085,11259200
2025-09-04,142.78233337402344,145.29018743541573,142.3546352629519,144.85277430621574,6342200
2025-09-05,143.6883087158203,145.1508155139805,142.59879364621221,143.30550693337324,7186300
2025-09-08,139.0946807861328,143.0306689271023,137.75977963728343,143.0306689271023,11127600
2025-09-09,140.45904541015625,140.9792628764975,138.4959561100964,138.57446650217793,5866400
2025-09-10,140.0271453857422,140.46883742609776,138.81002478421988,139.60507345229604,6015100
2025-09-11,141.5681610107422,142.078568351453,139.87009319573093,140.25289495696885,6144400
2025-09-12,140.88108825683594,141.58780153198117,140.26271039678855,141.41113070178548,5713700
2025-09-15,138.04441833496094,140.8810813502039,137.93644784051858,140.75347577208646,7279600
2025-09-16,137.4456787109375,138.70205450543364,137.32789816057252,138.0935016923067,9283500
2025-09-17,138.62353515625,139.41858386004532,137.5634652254624,137.58310031043482,6092900
2025-09-18,138.1327667236328,139.0161658458442,137.79904515570453,138.04443130456625,6106600
2025-09-19,139.1437530517578,139.45785450365722,137.86775709066583,138.84930166207909,12365500
2025-09-22,138.42723083496094,138.90819307065357,137.35735083793583,138.47631105936742,5797600
2025-09-23,139.28115844726562,139.60506992926713,137.37697469962654,138.43702957885637,6356500
2025-09-24,139.5461883544922,139.71304913249804,138.40759306990722,139.19283171366172,5949100
2025-09-25,137.33770751953125,140.7731133414922,137.27881724464655,140.36086644011857,7101700
2025-09-26,137.84811401367188,138.3879664920867,137.26900634463627,137.35734175641852,6224700
2025-09-29,137.58309936523438,138.07387164590247,136.55247458039506,137.84812059040595,11930200
2025-09-30,137.84811401367188,138.42722168270745,137.24937126073556,137.58309280114446,7583400
2025-10-01,140.498291015625,140.7240420761107,137.88737883024532,138.21129033990658,5880800
2025-10-02,139.68360900878906,140.6062633250372,138.76095469254093,139.27136207588325,4497300
2025-10-03,139.3596954345703,140.71423174922148,139.24191487753342,139.63452671911088,5425700
2025-10-06,137.1217803955078,139.23211031446237,136.31692159537795,139.1535849476137,6750700
2025-10-07,138.191650390625,139.22227516196588,137.11196037360506,137.77940347752488,6110300
2025-10-08,136.27764892578125,138.37815377464452,136.13042322637716,138.19165790394464,8256700
2025-10-09,142.03932189941406,142.06876703846078,136.03225892180046,137.86775745974037,13706600
2025-10-10,147.31021118164062,148.0365595567978,142.3239629579886,142.94234083112488,17545200
2025-10-13,146.1421661376953,147.21204609306164,144.62076910342495,145.90659005602612,7272000
2025-10-14,148.74325561523438,148.8217809770759,145.7593667511636,145.94586261338955,8371100
2025-10-15,148.37026977539062,149.57756531320683,146.41699083438678,148.5371305426351,6101100
2025-10-16,149.8524169921875,151.53086490087418,149.47942523977213,149.56777563920588,8532900
2025-10-17,150.8732147216797,151.06952063019477,148.93957081958558,150.93210499651613,6710100
2025-10-20,150.80450439453125,151.5701079470403,149.90148520380725,151.5701079470403,4810600
2025-10-21,150.35299682617188,152.3259110862688,150.01927525184084,151.8449488334866,5614300
2025-10-22,150.2057647705078,152.3160796110582,149.89167829536066,150.32354532654028,6486000
2025-10-23,148.71380615234375,150.56892471250939,148.2426689721759,150.34317366451785,6091800
2025-10-24,148.75308227539062,149.60702125684998,148.47825099452598,149.23402952831302,3580200
2025-10-27,149.8131561279297,150.0487172450194,148.17397845372565,148.22304370166472,4744600
2025-10-28,147.34945678710938,150.38244070028625,147.15315088089375,148.61565758998435,5626500
2025-10-29,143.46255493164062,145.91641630508613,141.01850361190367,145.31767353087818,7767600
2025-10-30,144.826904296875,145.3569317747076,143.55089336045685,143.63922877723203,5752700
2025-10-31,143.3938446044922,144.28705376997277,142.6184309735115,143.50181510776108,6313600
2025-11-03,140.94979858398438,143.2171640211319,140.60625201227927,143.1680837998625,8331500
2025-11-04,140.26271057128906,142.25524481483038,139.43821674165432,142.02949376135018,8302900
2025-11-05,140.22344970703125,140.63569660517302,138.96707392873805,140.26270489758636,7136400
2025-11-06,138.96707153320312,140.56699385429175,138.69224027251286,139.7817552620994,6449400
2025-11-07,140.31179809570312,141.39150315058612,139.03578711552743,140.29216301001924,7592300
2025-11-10,139.9878692626953,140.38049604189473,138.6529681677777,139.8602786644882,6617500
2025-11-11,142.40249633789062,143.06993949546305,140.04678024586357,140.63571301316594,7683600
2025-11-12,141.7252197265625,142.81473479729928,141.40130822151303,141.89208050603983,5790100
2025-11-13,142.34359741210938,143.68830867726086,140.99887116977638,141.44057820701963,6663300
2025-11-14,143.1582794189453,144.12999894355127,141.2737006923552,143.19753461120783,5770500
2025-11-17,145.1017303466797,145.37656161819226,142.53989851229528,143.42328260255982,7320200
2025-11-18,146.02438354492188,147.06481834768826,144.72873757961818,145.56305641883776,10821500
2025-11-19,144.39501953125,146.05383221918595,143.9827726169931,145.5630599435685,8123200
2025-11-20,143.40365600585938,144.3655654126232,142.22579063590166,143.8944282509483,6878900
2025-11-21,143.62940979003906,146.19124155745232,143.2858632210388,143.58032956915608,7911800
2025-11-24,142.81472778320312,143.639221586191,142.08837944599145,143.13863927234425,9391400
2025-11-25,143.41348266601562,144.40483732410755,142.88345516990262,143.23679684918991,8954000
2025-11-26,145.24896240234375,145.7299246371621,143.53125939151172,143.61960978615545,5180600
2025-11-28,145.99493408203125,146.07345943916397,144.51279230406973,144.51279230406973,2969300
2025-12-01,146.750732421875,147.0550238383864,145.76918779065528,145.88698333088573,7623300
2025-12-02,145.86734008789062,146.75072421571738,143.8257255718568,146.7016589686461,6830300
2025-12-03,145.32748413085938,147.91876115187094,145.18025843877174,145.94586199199006,5109200
2025-12-04,144.19871520996094,145.513981328627,143.43311164971163,145.0232090475861,6803000
2025-12-05,143.73585510253906,144.50894700860835,143.23036146295104,144.3305330406147,5971300
2025-12-08,144.3404541015625,145.26221171079564,142.92310885865865,143.7259339050676,6327400
2025-12-09,143.3592071533203,146.2533486366969,142.63567556339416,145.05407169813031,10035200
2025-12-10,148.37440490722656,148.4536983228325,145.69831640613413,146.46150229812793,18526400
2025-12-11,147.72024536132812,149.5538696758879,146.81831489789627,148.82041692532948,7854000
2025-12-12,149.3159942626953,149.3358213981286,147.42291872982835,148.4239697759485,8143100
2025-12-15,149.88095092773438,150.35669630205035,148.94927219043072,149.60343153241067,8409600
2025-12-16,149.03846740722656,151.000945377794,148.66184259486977,150.64413257620652,7520300
2025-12-17,148.7510528564453,149.9007847591031,148.15635976922965,149.04839940005314,8067100
2025-12-18,148.04733276367188,149.03847782361194,147.92840019605455,148.47353300375627,6643200
2025-12-19,146.84805297851562,148.5627296656844,146.59034558857448,147.82927689045113,17543500
2025-12-22,145.7478790283203,147.66078166822234,145.11354681693064,146.22362440594435,8818700
2025-12-23,142.40771484375,145.88664368062598,142.28878227622377,145.88664368062598,7254800
2025-12-24,142.46719360351562,142.71497986370588,141.68418055205746,142.51673875661518,2618700
2025-12-26,142.5068359375,142.66542277724966,141.8229434242938,142.28878281376257,4975500
2025-12-29,142.9627685546875,143.76559363156667,142.32843632276183,142.46719602588078,7201900
2025-12-30,142.8834686279297,143.9836401967227,142.64558838041376,142.695148655772,4713800
2025-12-31,142.24913024902344,142.75460873891723,141.89231745507723,142.5563827697631,4380300
2026-01-02,140.97055053710938,142.14010951321447,140.84171196990727,141.9517895415276,7182100
2026-01-05,138.68101501464844,140.55427857356466,138.16561534869246,140.40561286399728,9031400
2026-01-06,137.72952270507812,138.81977318510366,137.34297674079824,138.4431332267944,9576500
2026-01-07,135.79676818847656,138.59180428985843,135.7472230384423,137.9872052474535,8539800
2026-01-08,138.13587951660156,138.2449060760522,134.80563157408733,135.36068550090064,8762800
2026-01-09,138.6710968017578,139.5432940938986,137.47180473001515,138.20525745455524,6767600
2026-01-12,140.10826110839844,140.25692681243467,137.3330520182305,138.67110384924786,12223400
2026-01-13,142.20948791503906,142.37798075914338,139.79109156686278,139.85057297390546,9030200
2026-01-14,144.6278839111328,145.0045238697863,141.87250188145563,141.87250188145563,8329500
2026-01-15,145.27212524414062,145.71813745508302,144.24132600798677,144.7666316312235,5797800
2026-01-16,145.02435302734375,146.2434572214646,144.22151282159868,145.85691125144223,10313500
2026-01-20,146.35247802734375,146.35247802734375,143.04205727338584,144.925226771496,9982800
2026-01-21,145.4406280517578,146.6993713586461,143.6565639619215,145.7478805931821,7679600
2026-01-22,143.121337890625,145.827174741972,142.8933787657921,145.38114737452213,8167400
2026-01-23,143.29974365234375,143.55743590375306,141.79319904150162,142.5861180537171,5870100
